DateTimeOfCall,HourlyNotionalCost,IncidentNotionalCost,AnimalGroupParent,WardCode,Ward,Latitude,Longitude
17/01/2009 18:08,255,510,Dog,E05000186,Norwood Green,51.50581677,-0.366000236
18/01/2009 11:08,255,255,Cat,E05000136,Haverstock,NULL,NULL
18/01/2009 16:19,255,255,Cat,E05000310,Gooshays,51.60877075,0.23331818
21/01/2009 00:43,255,255,Dog,E05000040,Valence,NULL,NULL
21/01/2009 10:33,255,765,Fox,E05000427,Prince's,51.49139735,-0.121267747
21/01/2009 14:04,255,510,Dog,E05000519,"Ham, Petersham and Richmond Riverside",51.43297839,-0.290379808
21/01/2009 21:55,255,255,Fox,E05000411,St. James,NULL,NULL
22/01/2009 21:35,255,255,Bird,E05000287,Edgware,NULL,NULL
24/01/2009 10:31,255,255,Cat,E05000516,Barnes,NULL,NULL
25/01/2009 10:26,255,255,Cat,E05000374,Hillrise,51.56654715,-0.12619315
25/01/2009 12:11,255,765,Dog,E05000364,Syon,51.48414487,-0.315155902
25/01/2009 15:27,255,255,Unknown - Domestic Animal Or Pet,E05011489,Woodside,51.39205798,-0.062970325
25/01/2009 16:01,255,255,Dog,E05000564,Sutton Central,51.36118516,-0.191210825
27/01/2009 10:49,255,255,Squirrel,E05000449,New Cross,51.47623195,-0.021576172
27/01/2009 11:21,255,255,Cat,E05000143,St. Pancras and Somers Town,NULL,NULL
27/01/2009 17:18,255,255,Dog,E05000219,Eltham South,51.44912339,0.060121979
28/01/2009 13:40,255,510,Cat,E05000590,Cann Hall,51.56321059,0.013290743
28/01/2009 14:41,255,255,Cat,E05000123,Penge and Cator,NULL,NULL
30/01/2009 10:43,255,255,Unknown - Heavy Livestock Animal,E05000483,Forest Gate North,NULL,NULL
30/01/2009 12:17,255,255,Dog,E05011102,Faraday,NULL,NULL
30/01/2009 23:36,255,255,Dog,E05000075,Erith,51.48336535,0.182061343
31/01/2009 09:47,255,255,Dog,E05000274,Muswell Hill,51.58850236,-0.138917727
01/02/2009 08:48,255,255,Cat,E05000333,Ickenham,NULL,NULL
01/02/2009 09:30,255,255,Fox,E05000044,Burnt Oak,51.59770605,-0.257531516
04/02/2009 00:25,255,255,Fox,E05000252,Avonmore and Brook Green,51.49450385,-0.205949974
04/02/2009 17:47,255,255,Cat,E05009390,Campden,NULL,NULL
06/02/2009 09:08,255,765,Dog,E05004162,Loughton Forest,51.63874348,0.027660488
06/02/2009 14:42,255,255,Cat,E05000422,Gipsy Hill,51.42248815,-0.083662056
06/02/2009 17:14,255,255,Cat,E05000420,Coldharbour,NULL,NULL
06/02/2009 19:29,255,255,Cat,E05000420,Coldharbour,NULL,NULL
07/02/2009 11:12,255,255,Bird,E05000644,St. James's,51.51134253,-0.131356592
07/02/2009 12:43,255,255,Unknown - Heavy Livestock Animal,E05000405,Chessington South,51.34119192,-0.319051309
08/02/2009 00:59,255,255,Cat,E05000379,St. Mary's,51.54302515,-0.103421503
08/02/2009 12:08,255,255,Dog,E05000593,Chingford Green,51.63284278,0.018351358
14/02/2009 11:38,255,255,Dog,E05000274,Muswell Hill,51.58554114,-0.134780349
15/02/2009 15:53,255,255,Bird,E05009330,St. Katharine's & Wapping,51.50830086,-0.059254177
16/02/2009 11:13,255,255,Bird,E05000159,Purley,51.33781546,-0.115464278
17/02/2009 13:23,255,1275,Cat,E05000075,Erith,51.48527845,0.17735639
17/02/2009 16:13,255,255,Bird,E05000363,Osterley and Spring Grove,51.48303265,-0.32477449
18/02/2009 13:22,255,255,Bird,E05000100,Stonebridge,51.54957001,-0.256357552
20/02/2009 09:35,255,255,Cat,E05000034,Heath,NULL,NULL
21/02/2009 14:08,255,255,Fox,E05000416,Bishop's,51.50719166,-0.1136144
21/02/2009 16:12,255,255,Cat,E05000060,Underhill,51.64662325,-0.199082475
22/02/2009 13:17,255,255,Bird,E05000456,Cannon Hill,51.40273602,-0.219693097
22/02/2009 17:22,255,255,Unknown - Domestic Animal Or Pet,E05000442,Downham,NULL,NULL
23/02/2009 15:28,255,255,Cat,E05000484,Forest Gate South,NULL,NULL
23/02/2009 16:56,255,255,Bird,E05000597,Hale End and Highams Park,NULL,NULL
25/02/2009 22:18,255,510,Cat,E05000229,Woolwich Common,NULL,NULL
27/02/2009 16:35,255,255,Bird,E05000039,Thames,NULL,NULL
01/03/2009 08:31,255,255,Dog,E05000130,Camden Town with Primrose Hill,51.53927199,-0.155102008
02/03/2009 14:29,255,255,Cat,E05000475,Beckton,NULL,NULL
03/03/2009 11:05,255,255,Cat,E05000481,East Ham North,NULL,NULL
03/03/2009 12:54,255,255,Bird,E05000478,Canning Town South,51.51498237,0.009102484
04/03/2009 18:36,255,255,Dog,E05000474,Wimbledon Park,51.43199153,-0.19047348
04/03/2009 21:44,255,255,Dog,E05009333,Spitalfields & Banglatown,NULL,NULL
04/03/2009 23:35,255,255,Dog,E05000447,Lee Green,51.45843297,-0.002884196
06/03/2009 15:22,255,510,Cat,E05000485,Green Street East,51.53743364,0.043645966
06/03/2009 20:25,255,255,Dog,E05009388,Abingdon,51.49684467,-0.20084439
07/03/2009 15:00,255,255,Dog,E05000331,Heathrow Villages,NULL,NULL
07/03/2009 22:52,255,255,Cat,E05011108,Nunhead & Queen's Road,NULL,NULL
08/03/2009 23:54,255,255,Cat,E05000112,Clock House,51.40562868,-0.056501617
10/03/2009 10:18,255,510,Cat,E05000497,Bridge,51.60133166,0.043365143
12/03/2009 11:51,255,765,Horse,E05000030,Eastbrook,51.55435513,0.182630569
12/03/2009 13:51,255,255,Cat,E05000503,Fairlop,51.60428185,0.097883827
12/03/2009 14:36,255,255,Cat,E05000477,Canning Town North,NULL,NULL
14/03/2009 20:06,255,510,Bird,E05000418,Clapham Common,51.45248937,-0.141230246
14/03/2009 21:29,255,255,Unknown - Heavy Livestock Animal,E05000111,Chislehurst,51.42268621,0.064096003
15/03/2009 14:59,255,255,Bird,E05000342,West Drayton,NULL,NULL
15/03/2009 15:55,255,255,Bird,E05000073,Danson Park,51.45643893,0.118404478
16/03/2009 19:56,255,255,Cat,E05000599,High Street,NULL,NULL
18/03/2009 09:37,255,255,Cat,E05009317,Bethnal Green,NULL,NULL
18/03/2009 11:23,255,510,Bird,E05000486,Green Street West,NULL,NULL
18/03/2009 11:46,255,255,Sheep,E05000593,Chingford Green,51.63730176,-0.014284793
18/03/2009 22:07,255,255,Cat,E05000529,South Twickenham,51.43873711,-0.331805652
20/03/2009 13:35,255,255,Bird,E05011468,Fairfield,NULL,NULL
20/03/2009 16:36,255,255,Cat,E05000195,Chase,51.66858263,-0.083228566
21/03/2009 09:22,255,255,Cat,E05000138,Holborn and Covent Garden,NULL,NULL
21/03/2009 16:01,255,255,Unknown - Heavy Livestock Animal,E05000282,West Green,NULL,NULL
21/03/2009 18:24,255,255,Cat,E05011110,Peckham,51.47865805,-0.062904025
25/03/2009 19:53,255,255,Dog,E05009329,St. Dunstan's,51.51675404,-0.034953717
25/03/2009 23:32,255,255,Cat,E05000094,Kilburn,51.54013744,-0.198646295
26/03/2009 16:04,255,255,Cat,E05000428,St. Leonard's,NULL,NULL
26/03/2009 19:39,255,255,Dog,E05000033,Goresbrook,51.53694489,0.136186442
28/03/2009 03:28,255,255,Dog,E05000317,Pettits,51.59007418,0.167161739
28/03/2009 10:51,255,255,Cat,E05011485,South Norwood,NULL,NULL
28/03/2009 16:00,255,255,Bird,E05000408,Grove,51.40946896,-0.301280159
28/03/2009 18:12,255,255,Bird,E05000365,Turnham Green,NULL,NULL
28/03/2009 18:38,255,255,Bird,E05000143,St. Pancras and Somers Town,NULL,NULL
29/03/2009 11:37,255,255,Bird,E05000143,St. Pancras and Somers Town,51.52849185,-0.129111558
31/03/2009 07:40,255,255,Cat,E05000107,Biggin Hill,51.30842551,0.038190634
31/03/2009 21:00,255,255,Cat,E05000519,"Ham, Petersham and Richmond Riverside",51.44617602,-0.299427934
31/03/2009 23:41,255,255,Cat,E05000476,Boleyn,NULL,NULL
01/04/2009 07:01,260,260,Cat,E05000519,"Ham, Petersham and Richmond Riverside",51.44658399,-0.300276241
02/04/2009 11:59,260,260,Dog,E05000517,East Sheen,51.45673375,-0.268116991
03/04/2009 01:27,260,260,Dog,E05000463,Lavender Fields,51.41545484,-0.173149512
05/04/2009 11:35,260,260,Cat,E05000140,Kilburn,51.5405555,-0.194837117
06/04/2009 12:12,260,260,Dog,E05000054,Hale,NULL,NULL
06/04/2009 16:20,260,260,Dog,E05000437,Bellingham,51.42903652,-0.038116382
08/04/2009 14:31,260,260,Cat,E05011484,South Croydon,51.36339425,-0.094533415
10/04/2009 04:39,260,260,Cat,E05011489,Woodside,NULL,NULL
10/04/2009 09:58,260,260,Bird,E05000429,Stockwell,NULL,NULL
11/04/2009 11:47,260,260,Unknown - Domestic Animal Or Pet,E05009395,Earl's Court,NULL,NULL
11/04/2009 15:03,260,260,Cat,E05000366,Barnsbury,NULL,NULL
11/04/2009 15:08,260,260,Cat,E05000564,Sutton Central,51.36896711,-0.18676661
11/04/2009 23:32,260,520,Cat,E05000290,Harrow Weald,NULL,NULL
12/04/2009 22:40,260,260,Dog,E05000328,Charville,51.53631224,-0.420667426
13/04/2009 14:10,260,260,Cat,E05000622,St. Mary's Park,NULL,NULL
13/04/2009 17:15,260,260,Cat,E05000343,West Ruislip,NULL,NULL
16/04/2009 13:27,260,260,Cat,E05000481,East Ham North,NULL,NULL
17/04/2009 16:12,260,260,Dog,E05000041,Village,NULL,NULL
17/04/2009 22:04,260,260,Dog,E05000306,Brooklands,51.58217448,0.174666936
19/04/2009 09:25,260,260,Cat,E05000380,St. Peter's,NULL,NULL
19/04/2009 11:10,260,260,Cat,E05000636,Hyde Park,NULL,NULL
19/04/2009 20:05,260,260,Cat,E05000486,Green Street West,NULL,NULL
20/04/2009 11:27,260,260,Cat,E05000050,Edgware,NULL,NULL
20/04/2009 15:43,260,260,Cat,E05000479,Custom House,51.51215481,0.038998078
22/04/2009 07:12,260,260,Cat,E05000317,Pettits,NULL,NULL
22/04/2009 13:05,260,260,Dog,E05000272,Highgate,51.57384876,-0.160860203
22/04/2009 18:11,260,260,Cat,E05000281,Tottenham Hale,NULL,NULL
23/04/2009 10:34,260,260,Cat,E05000487,Little Ilford,NULL,NULL
23/04/2009 19:36,260,260,Cat,E05011488,West Thornton,NULL,NULL
23/04/2009 22:55,260,260,Cat,E05009386,Victoria,NULL,NULL
24/04/2009 10:23,260,260,Cat,E05000482,East Ham South,NULL,NULL
24/04/2009 14:47,260,260,Cat,E05000206,Ponders End,51.64107805,-0.047968305
25/04/2009 10:41,260,260,Cat,E05000567,Sutton West,NULL,NULL
25/04/2009 12:32,260,260,Cat,E05009376,Homerton,51.55096175,-0.052202746
25/04/2009 13:25,260,260,Cat,E05009376,Homerton,51.55096175,-0.052202746
26/04/2009 10:51,260,260,Cat,E05000263,Shepherd's Bush Green,51.50669755,-0.228411641
26/04/2009 16:22,260,260,Cat,E05011489,Woodside,NULL,NULL
26/04/2009 23:00,260,260,Cat,E05000591,Cathall,51.55552606,0.005176124
29/04/2009 02:27,260,260,Cat,E05009320,Bow West,51.53507423,-0.03562075
29/04/2009 06:57,260,260,Cat,E05000039,Thames,51.52923128,0.105230888
29/04/2009 19:45,260,260,Dog,E05000261,Ravenscourt Park,51.49042384,-0.242957984
01/05/2009 10:15,260,260,Cat,E05000401,Berrylands,NULL,NULL
01/05/2009 13:03,260,260,Bird,E05000418,Clapham Common,NULL,NULL
01/05/2009 23:19,260,260,Cat,E05000371,Finsbury Park,NULL,NULL
02/05/2009 13:52,260,260,Fox,E05000322,Squirrel's Heath,51.58762293,0.214149429
02/05/2009 16:00,260,260,Cat,E05000419,Clapham Town,NULL,NULL
02/05/2009 18:12,260,520,Dog,E05000206,Ponders End,51.64105284,-0.033559972
03/05/2009 09:37,260,260,Bird,E05000198,Enfield Highway,NULL,NULL
04/05/2009 16:19,260,260,Bird,E05000380,St. Peter's,51.53683414,-0.096512325
04/05/2009 19:27,260,260,Bird,E05009376,Homerton,51.54377698,-0.047894229
05/05/2009 11:06,260,260,Dog,E05000630,Abbey Road,NULL,NULL
06/05/2009 13:34,260,260,Cat,E05000400,Alexandra,NULL,NULL
06/05/2009 16:30,260,260,Dog,E05000311,Hacton,51.55199456,0.227349917
06/05/2009 18:12,260,260,Cat,E05000111,Chislehurst,NULL,NULL
07/05/2009 10:46,260,520,Horse,E05000212,Upper Edmonton,51.60774677,-0.037455336
08/05/2009 20:14,260,780,Deer,E05000345,Yiewsley,51.50851513,-0.456284776
09/05/2009 20:35,260,260,Bird,E05000517,East Sheen,51.46631319,-0.263406575
09/05/2009 23:37,260,260,Cat,E05000460,Figge's Marsh,NULL,NULL
10/05/2009 08:09,260,260,Bird,E05000197,Edmonton Green,NULL,NULL
10/05/2009 11:30,260,260,Bird,E05000200,Grange,51.65216199,-0.080437331
11/05/2009 07:45,260,1820,Cat,E05009327,Mile End,51.5136333,-0.030649027
11/05/2009 09:34,260,260,Cat,E05000263,Shepherd's Bush Green,NULL,NULL
11/05/2009 09:57,260,260,Dog,E05000057,Mill Hill,51.61228715,-0.225992137
11/05/2009 16:06,260,260,Cat,E05000606,Markhouse,51.58210313,-0.019404797
11/05/2009 18:06,260,260,Bird,E05000060,Underhill,NULL,NULL
12/05/2009 11:51,260,260,Cat,E05009401,Queen's Gate,NULL,NULL
12/05/2009 17:47,260,260,Cat,E05009391,Chelsea Riverside,NULL,NULL
12/05/2009 18:55,260,260,Cat,E05009373,Hackney Downs,NULL,NULL
12/05/2009 19:45,260,260,Bird,E05000520,Hampton,NULL,NULL
13/05/2009 16:36,260,260,Squirrel,E05000052,Garden Suburb,51.58258503,-0.198238142
13/05/2009 19:22,260,260,Dog,E05000259,Palace Riverside,NULL,NULL
13/05/2009 19:44,260,780,Fox,E05009327,Mile End,NULL,NULL
14/05/2009 15:16,260,260,Bird,E05000204,Lower Edmonton,NULL,NULL
15/05/2009 09:56,260,520,Cat,E05000266,Alexandra,51.5937312,-0.136350772
15/05/2009 14:53,260,260,Bird,E05000172,Dormers Wells,NULL,NULL
15/05/2009 16:50,260,260,Cat,E05009320,Bow West,51.53540298,-0.034308843
16/05/2009 13:20,260,260,Dog,E05000088,Dollis Hill,51.5657882,-0.225450969
16/05/2009 14:28,260,260,Dog,E05000122,Orpington,51.36117455,0.10659316
16/05/2009 17:09,260,260,Dog,E05011235,Barkingside,51.58579059,0.07065814
17/05/2009 09:54,260,260,Cat,E05011470,New Addington North,NULL,NULL
18/05/2009 13:44,260,1040,Bird,E05011241,Cranbrook,NULL,NULL
19/05/2009 10:38,260,260,Bird,E05000341,Uxbridge South,51.54733916,-0.483512375
19/05/2009 11:35,260,260,Bird,E05000199,Enfield Lock,51.66716695,-0.018026026
19/05/2009 17:46,260,260,Cat,E05000192,Walpole,51.50472921,-0.315808596
19/05/2009 19:07,260,260,Bird,E05000331,Heathrow Villages,51.48060266,-0.459676129
20/05/2009 00:18,260,260,Cat,E05000133,Frognal and Fitzjohns,NULL,NULL
20/05/2009 11:36,260,260,Bird,E05000033,Goresbrook,NULL,NULL
22/05/2009 10:30,260,260,Bird,E05000060,Underhill,NULL,NULL
22/05/2009 16:24,260,260,Bird,E05000408,Grove,51.41005638,-0.308318681
23/05/2009 06:21,260,260,Cat,E05011223,Crook Log,51.45761208,0.12761399
24/05/2009 10:18,260,260,Bird,E05000203,Jubilee,NULL,NULL
24/05/2009 14:53,260,520,Horse,E05000607,Valley,51.60934349,-0.032923514
24/05/2009 16:46,260,260,Dog,E05000593,Chingford Green,51.63532158,0.024805463
27/05/2009 08:42,260,260,Cat,E05000057,Mill Hill,NULL,NULL
28/05/2009 11:11,260,260,Horse,E05000607,Valley,51.60830546,-0.033228363
28/05/2009 17:20,260,260,Bird,E05000028,Becontree,NULL,NULL
29/05/2009 12:24,260,260,Dog,E05000223,Kidbrooke with Hornfair,NULL,NULL
29/05/2009 15:19,260,260,Bird,E05000442,Downham,NULL,NULL
31/05/2009 14:28,260,260,Unknown - Domestic Animal Or Pet,E05000614,Fairfield,NULL,NULL
31/05/2009 15:52,260,260,Cat,E05000466,Merton Park,NULL,NULL
01/06/2009 14:14,260,260,Squirrel,E05000594,Endlebury,NULL,NULL
01/06/2009 19:49,260,260,Cat,E05000198,Enfield Highway,51.66075919,-0.036437145
01/06/2009 21:43,260,260,Cat,E05009332,Shadwell,51.51224017,-0.054402715
01/06/2009 23:58,260,260,Dog,E05000066,Blackfen and Lamorbey,51.44837222,0.090354776
02/06/2009 10:12,260,260,Dog,E05009373,Hackney Downs,51.55852818,-0.068182007
02/06/2009 11:15,260,260,Cat,E05000125,Plaistow and Sundridge,NULL,NULL
02/06/2009 13:28,260,260,Cat,E05000192,Walpole,51.50464646,-0.315681966
02/06/2009 13:49,260,260,Bird,E05000439,Brockley,51.47159661,-0.026672594
02/06/2009 16:50,260,260,Bird,E05000049,East Finchley,NULL,NULL
03/06/2009 11:03,260,260,Cat,E05000125,Plaistow and Sundridge,51.41508507,0.017201125
03/06/2009 12:03,260,260,Cat,E05000592,Chapel End,NULL,NULL
03/06/2009 21:28,260,260,Dog,E05000342,West Drayton,51.50174767,-0.461354654
04/06/2009 16:17,260,260,Bird,E05011479,Selhurst,NULL,NULL
04/06/2009 21:37,260,260,Unknown - Wild Animal,E05000105,Willesden Green,NULL,NULL
05/06/2009 17:39,260,260,Cat,E05000260,Parsons Green and Walham,NULL,NULL
05/06/2009 18:10,260,260,Bird,E05000408,Grove,51.41023391,-0.301942003
05/06/2009 18:37,260,260,Bird,E05000408,Grove,51.41023391,-0.301942003
06/06/2009 19:29,260,260,Dog,E05011244,Goodmayes,NULL,NULL
06/06/2009 20:03,260,260,Unknown - Heavy Livestock Animal,E05011487,Waddon,51.36907055,-0.105173804
07/06/2009 10:24,260,260,Cat,E05000442,Downham,NULL,NULL
08/06/2009 14:25,260,260,Bird,E05000200,Grange,51.6522282,-0.080636921
09/06/2009 08:37,260,260,Cat,E05000490,Plaistow South,NULL,NULL
09/06/2009 13:26,260,260,Cat,E05011106,North Bermondsey,NULL,NULL
09/06/2009 14:19,260,780,Dog,E05000177,Greenford Broadway,NULL,NULL
11/06/2009 13:28,260,260,Cat,E05011487,Waddon,NULL,NULL
12/06/2009 15:08,260,260,Bird,E05000131,Cantelowes,NULL,NULL
12/06/2009 21:31,260,260,Cat,E05000493,Wall End,NULL,NULL
12/06/2009 22:31,260,260,Cat,E05000059,Totteridge,NULL,NULL
13/06/2009 10:47,260,260,Dog,E05000519,"Ham, Petersham and Richmond Riverside",51.44975962,-0.29540893
13/06/2009 12:51,260,260,Dog,E05000559,Carshalton South and Clockhouse,NULL,NULL
13/06/2009 22:20,260,260,Cat,E05000209,Southgate Green,NULL,NULL
13/06/2009 23:08,260,260,Dog,E05000051,Finchley Church End,NULL,NULL
14/06/2009 14:28,260,260,Snake,E05011486,Thornton Heath,NULL,NULL
14/06/2009 21:32,260,260,Cat,E05000606,Markhouse,51.58053917,-0.022648253
15/06/2009 08:50,260,260,Dog,E05009325,Lansbury,51.5140784,-0.009601643
15/06/2009 15:13,260,780,Horse,E05000600,Higham Hill,51.60112257,-0.020513151
16/06/2009 20:17,260,260,Bird,E05000603,Lea Bridge,NULL,NULL
16/06/2009 22:19,260,260,Cat,E05009400,Pembridge,51.5096471,-0.198884303
18/06/2009 20:36,260,260,Bird,E05011485,South Norwood,NULL,NULL
18/06/2009 20:52,260,260,Bird,E05000172,Dormers Wells,51.51728004,-0.355558207
18/06/2009 23:43,260,260,Dog,E05000448,Lewisham Central,51.45966936,-0.004197807
19/06/2009 00:45,260,260,Cat,E05000276,Northumberland Park,NULL,NULL
19/06/2009 08:47,260,260,Cat,E05011464,Bensham Manor,NULL,NULL
19/06/2009 15:26,260,260,Bird,E05000434,Thurlow Park,51.43443673,-0.099491724
19/06/2009 15:43,260,260,Cat,E05000446,Ladywell,NULL,NULL
19/06/2009 18:07,260,520,Fox,E05000637,Knightsbridge and Belgravia,NULL,NULL
19/06/2009 21:27,260,260,Dog,E05000447,Lee Green,51.45549166,0.009265702
20/06/2009 00:06,260,260,Dog,E05000267,Bounds Green,51.60337209,-0.113905662
20/06/2009 09:21,260,260,Cat,E05000482,East Ham South,NULL,NULL
20/06/2009 12:13,260,520,Cat,E05000127,West Wickham,51.3780314,-0.02003555
20/06/2009 15:05,260,260,Bird,E05000558,Carshalton Central,NULL,NULL
21/06/2009 09:50,260,260,Bird,E05000604,Leyton,NULL,NULL
21/06/2009 11:55,260,260,Cat,E05011467,Crystal Palace & Upper Norwood,51.41467829,-0.098858661
21/06/2009 13:36,260,260,Cat,E05011469,Kenley,51.32564869,-0.101021031
21/06/2009 18:22,260,260,Cat,E05000043,Brunswick Park,51.62130078,-0.141389907
21/06/2009 19:38,260,260,Cat,E05000277,St. Ann's,NULL,NULL
22/06/2009 13:43,260,260,Unknown - Domestic Animal Or Pet,E05000183,North Greenford,NULL,NULL
23/06/2009 09:10,260,260,Bird,E05000636,Hyde Park,NULL,NULL
24/06/2009 14:26,260,260,Dog,E05000108,Bromley Common and Keston,NULL,NULL
24/06/2009 18:29,260,260,Dog,E05000149,Broad Green,51.38527269,-0.115039284
24/06/2009 18:41,260,260,Cat,E05000452,Sydenham,51.42807985,-0.050845312
25/06/2009 10:02,260,260,Cat,E05000442,Downham,NULL,NULL
25/06/2009 19:32,260,260,Cat,E05000278,Seven Sisters,51.57677212,-0.082288888
25/06/2009 20:47,260,260,Bird,E05000077,Lesnes Abbey,51.48727187,0.126071312
25/06/2009 20:56,260,260,Deer,E05000339,Townfield,51.51965437,-0.423016711
25/06/2009 22:31,260,260,Cat,E05000092,Kensal Green,NULL,NULL
27/06/2009 08:31,260,260,Cat,E05000274,Muswell Hill,NULL,NULL
28/06/2009 01:18,260,260,Bird,E05011246,Ilford Town,51.56028527,0.08042085
28/06/2009 13:01,260,260,Dog,E05000532,West Twickenham,51.43578182,-0.351724788
28/06/2009 18:45,260,260,Bird,E05000116,Crystal Palace,51.41753138,-0.066049971
28/06/2009 20:23,260,260,Bird,E05000418,Clapham Common,51.45573409,-0.145100062
28/06/2009 21:37,260,260,Bird,E05000175,East Acton,51.50970059,-0.255387834
28/06/2009 22:52,260,260,Cat,E05009333,Spitalfields & Banglatown,NULL,NULL
29/06/2009 16:31,260,260,Dog,E05000054,Hale,51.61926622,-0.259755242
29/06/2009 21:37,260,520,Cat,E05000649,West End,NULL,NULL
30/06/2009 16:49,260,260,Bird,E05000306,Brooklands,NULL,NULL
01/07/2009 13:21,260,520,Bird,E05011482,Shirley North,51.38355185,-0.038710578
01/07/2009 14:19,260,260,Snake,E05000366,Barnsbury,NULL,NULL
02/07/2009 08:46,260,260,Fox,E05000329,Eastcote and East Ruislip,NULL,NULL
02/07/2009 09:35,260,260,Cat,E05011108,Nunhead & Queen's Road,NULL,NULL
02/07/2009 15:30,260,260,Cat,E05000571,Wandle Valley,NULL,NULL
02/07/2009 23:59,260,260,Cat,E05000424,Knight's Hill,NULL,NULL
03/07/2009 06:20,260,520,Cat,E05000546,Peckham,51.47749554,-0.073120332
03/07/2009 10:39,260,260,Dog,E05000347,Brentford,51.48951951,-0.301230311
03/07/2009 13:34,260,260,Dog,E05000379,St. Mary's,NULL,NULL
03/07/2009 14:12,260,260,Lizard,E05000044,Burnt Oak,NULL,NULL
03/07/2009 18:04,260,520,Snake,E05000365,Turnham Green,51.49420973,-0.26106487
04/07/2009 10:29,260,260,Dog,E05000474,Wimbledon Park,51.42602232,-0.185947876
04/07/2009 11:15,260,260,Dog,E05000030,Eastbrook,51.55282046,0.176166741
05/07/2009 09:25,260,NULL,Cat,E05011485,South Norwood,NULL,NULL
05/07/2009 11:50,260,520,Deer,E05000107,Biggin Hill,51.31705164,0.025671909
05/07/2009 13:05,260,260,Cat,E05009379,King's Park,NULL,NULL
06/07/2009 11:08,260,260,Cat,E05000042,Whalebone,NULL,NULL
06/07/2009 16:17,260,260,Cat,E05000346,Bedfont,51.45338397,-0.431345303
07/07/2009 15:29,260,260,Dog,E05009371,De Beauvoir,NULL,NULL
07/07/2009 19:29,260,260,Bird,E05000269,Crouch End,NULL,NULL
08/07/2009 06:33,260,260,Cat,E05000405,Chessington South,NULL,NULL
08/07/2009 07:50,260,260,Cat,E05000444,Forest Hill,51.43185854,-0.067229066
08/07/2009 18:48,260,260,Cat,E05009327,Mile End,NULL,NULL
09/07/2009 06:42,260,260,Dog,E05000477,Canning Town North,51.51727783,0.008972957
09/07/2009 11:10,260,520,Cat,E05000423,Herne Hill,51.46752178,-0.100622633
10/07/2009 09:49,260,260,Cat,E05000134,Gospel Oak,51.5508257,-0.161860922
10/07/2009 10:23,260,260,Bird,E05000149,Broad Green,51.38160165,-0.101538053
10/07/2009 15:38,260,520,Cat,E05000051,Finchley Church End,NULL,NULL
